CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,Description,Prerequisites,Division Requirement
75,FS 101 A,Seminar II,4,MW 10:05-11:30 AM in CL3-13,Fiona Wilson,All first-year students are required to take the two-semester First-Year Seminar.,,
60,FS 101 B,Seminar II,4,MW 1:05-2:30 PM in CL3-10,Felix Kaputu,All first-year students are required to take the two-semester First-Year Seminar.,,
32,FS 101 C,Seminar II,4,MW 1:05-2:30 PM in DAC-135,Chris Domenick,All first-year students are required to take the two-semester First-Year Seminar.,,
71,FS 101 D,Seminar II,4,MW 2:40-4:05 PM in DAC-135,Aimee Michel,All first-year students are required to take the two-semester First-Year Seminar.,,
62,FS 101 E,Seminar II,4,MW 2:40-4:05 PM in DAC-128,Sara Katzoff,All first-year students are required to take the two-semester First-Year Seminar.,,
72,FS 101 F,Seminar II,4,TR 10:35-12:00 PM in CL3-09,Mileta Roe,All first-year students are required to take the two-semester First-Year Seminar.,,
74,FS 101 G,Seminar II,4,TR 1:05-2:30 PM in DAC-128,Dien Vo,All first-year students are required to take the two-semester First-Year Seminar.,,
199,FS 101 H,Seminar II,4,TR 9:00-10:25 AM in CL3-12,Jeff Walton,All first-year students are required to take the two-semester First-Year Seminar.,,
53,PACE 101,W Writing in the Humanities,3,MW 2:40-4:05 PM in HCC-CONF,Mark Hopkins,no course description available,,Language and Literature
212,FYE 100/1 JA,First Year Experience I & II,2 p/f,TBD,staff,no course description available,,
205,FYE 101 A,First Year Experience II,1 p/f,M 4:15-5:40 PM in CL1-02,staff,"The FYE sequence (FYE 100 and FYE 101) supports students holistically in their transition
                              to the academic, leadership, and social terrains of Simon's Rock. It is designed to
                              help students develop skills that will enable them to thrive during their time on
                              campus. Students will explore a variety of topics, including success strategies, personal
                              goals and self-awareness, civic responsibility and social action, and areas of personal
                              and professional interest. Students will develop essential skills, behaviors, and
                              attitudes that are necessary for student success.",,
